ID_ANUNCIO,TP_ANUNCIO,FACE_SENTIDO,DIM_LARG_M,DIM_COMP_M,EMPRESA_ANUNCIANTE,EMPRESA_IMPLANTA,CADASTRO_DER,CADASTRO_DER_NRO,VALOR,OBS
010170003846,1,1,,,GRUPO ESTRUTURAL, ,,,,
010170003857,4,1,,,BUSINESS PARK, ,,,,
010170003868,4,1,,,BUSINESS PARK, ,,,,
010170003879,1,1,,,ZF, ,,,,
010170003881,1,1,,,ZF, ,,,,
010170003892,1,0,,,CARDANS, ,,,,
010170003903,1,0,,,CARDANS, ,,,,
010170003914,0,0,,,, ,,,,
010170003925,0,0,,,, ,,,,
010170003936,3,0,,,DEQUERO FRUTAS, ,,,,
010170003947,3,0,,,DEQUERO FRUTAS, ,,,,
010170003958,3,0,,,POSTO SUCÃO, ,,,,
010170003969,0,0,,,, ,,,,
010170003971,0,0,,,, ,,,,
010170003982,3,0,,,AVM IMÓVEIS, ,,,,
010170003993,1,1,,,ABL, ,,,,
010170004004,1,1,,,ANDRITZ, ,,,,
010170004015,1,1,,,ANDRITZ, ,,,,
010170004026,1,1,,,BUCKMAN, ,,,,
010170004037,1,1,,,BUCKMAN, ,,,,
010170004048,4,1,,,EMBARC, ,,,,
010170004059,4,1,,,EMBARC, ,,,,
010170004061,1,1,,,IVECO MERCALF, ,,,,
010170004072,1,1,,,IVECO MERCALF, ,,,,
010170004083,0,1,,,, ,,,,
010170004094,1,0,,,AVIÕES TRANSPORTES, ,,,,
010170004105,1,0,,,AVIÕES TRANSPORTES, ,,,,
010170004116,0,0,,,, ,,,,
010170004127,0,0,,,, ,,,,
010170004138,3,0,,,GRAAL BARREIRENSE, ,,,,
010170004149,0,0,,,, ,,,,
010170004151,1,0,,,TRUCK CENTER, ,,,,
010170004162,1,0,,,TRUCK CENTER, ,,,,
010170004173,1,0,,,POSTO SUCÃO, ,,,,
010170004184,1,0,,,POSTO SUCÃO, ,,,,
010170004195,4,0,,,SCOTH BRITH, ,,,,
010170004206,4,0,,,SCOTH BRITH, ,,,,
010170004217,1,1,,,3M, ,,,,
010170004228,1,1,,,3M, ,,,,
010170004239,3,1,,,BRASILUX,CHANGE PAINEIS,,,,
010170004241,0,1,,,CHANGE PAINEIS,CHANGE PAINEIS,,,,
010170004252,3,1,,,IRMÃOS CAMINHÕES, ,,,,
010170004263,3,1,,,IRMÃOS CAMINHÕES, ,,,,
010170004274,4,1,,,ESCAD, ,,,,
010170004285,4,1,,,ESCAD, ,,,,
010170004296,0,1,,,, ,,,,
010170004307,3,1,,,RAL PRINT, ,,,,
010170004318,0,1,,,, ,,,,
010170004329,0,1,,,, ,,,,
010170004331,3,1,,,ZOCRAM, ,,,,
010170004342,3,1,,,LINO TECNO CLEAM, ,,,,
010170004353,3,0,,,JV, ,,,,
010170004364,4,0,,,ARMAC,VEX,,,,
010170004375,4,0,,,ZECRON, ,,,,
010170004386,4,0,,,ORIMAD, ,,,,
010170004397,1,0,,,ZAVEGNAGO, ,,,,
010170004408,3,0,,,CASA DOS FILTROS DE BARRO, ,,,,
010170004419,0,0,,,, ,,,,
010170004421,0,1,,,, ,,,,
010170004432,1,1,,,GOOD BOM, ,,,,
010170004443,1,0,,,GOOD BOM, ,,,,
010170004454,3,1,,,AVM IMÓVEIS, ,,,,
010170004465,3,1,,,, ,,,,
010170004476,3,1,,,TRANSJORDANO, ,,,,
010170004487,3,1,,,TRANSJORDANO, ,,,,
010170004498,1,1,,,RANDOM, ,,,,
010170004509,1,1,,,RANDOM, ,,,,
010170004511,3,1,,,JULIO CASAS IMOVEIS, ,,,,
010170004522,0,0,,,JULIO CASAS IMOVEIS, ,,,,
010170004533,3,1,,,PLENA MOVEIS , ,,,,
010170004544,3,0,,,GRAAL CASTELO, ,,,,
010170004555,3,0,,,ELDORADO IMÓVEIS, ,,,,
010170004566,4,0,,,TENDA ATACADO, ,,,,
010170004577,0,0,,,, ,,,,
010170004588,0,0,,,, ,,,,
010170004599,0,0,,,, ,,,,
010170004601,0,0,,,, ,,,,
010170004612,2,0,,,POSTO CHEROKE, ,,,,
010170004623,2,0,,,POSTO CHEROKE, ,,,,
010170004634,0,0,,,, ,,,,
010170004645,0,1,,,, ,,,,
010170004656,1,1,,,APALOOSA CHURRASCARIA, ,,,,
010170004667,1,1,,,APALOOSA CHURRASCARIA, ,,,,
010170004678,4,0,,,MARAVILHAS DO LAR,J SILVA PAINEIS,,,,
010170004689,0,1,,,SHOPPING DA UTILIDADE, ,,,,
010170004691,4,1,,,SHOPPING DA UTILIDADE, ,,,,
010170004702,0,1,,,, ,,,,
010170004713,4,1,,,SHOPPING DA UTILIDADE, ,,,,
010170004724,0,1,,,, ,,,,
010170004735,4,1,,,SHOPPING DA UTILIDADE, ,,,,
010170004746,0,1,,,, ,,,,
010170004757,1,1,,,TAMBORÉ AMERICANA, ,,,,
010170004768,1,1,,,TAMBORÉ AMERICANA, ,,,,
010170004779,0,1,,,, ,,,,
010170004781,4,0,,,ELDORADO IMÓVEIS, ,,,,
010170004792,3,0,,,BARRA DO CISNE, ,,,,
010170004803,0,0,,,, ,,,,
010170004814,4,0,,,QUINTA DOS ROMEIROS, ,,,,
